2,0,33,10.25
2,1,33,9.701
2,2,33,9.106
2,3,33,9.623
2,4,33,9.74
3,0,88,31.409
3,1,88,31.998
3,2,88,28.962
3,3,88,32.984
3,4,88,32.374
4,0,185,91.897
4,1,185,88.295
4,2,185,85.289
4,3,185,94.046
4,4,185,100.03
5,0,336,206.859
5,1,336,223.709
5,2,336,222.964
5,3,336,248.703
5,4,336,237.442
6,0,553,506.34
6,1,553,488.745
6,2,553,494.241
6,3,553,551.141
6,4,553,509.53
7,0,848,1126.28
7,1,848,967.231
7,2,848,986.508
7,3,848,1186.64
7,4,848,1189.17
8,0,1233,2197.64
8,1,1233,2084.53
8,2,1233,1941.3
8,3,1233,2128.01
8,4,1233,2120.03
9,0,1720,3405.91
9,1,1720,3557.53
9,2,1720,3734.23
9,3,1720,3822.34
9,4,1720,3567.47
10,0,2321,6664.82
10,1,2321,6157
10,2,2321,6611.61
10,3,2321,6445.38
10,4,2321,7062.31
11,0,3048,10759.7
11,1,3048,10559.9
11,2,3048,11083.1
11,3,3048,11396.2
11,4,3048,10505.1
12,0,3913,18595.2
12,1,3913,17467.5
12,2,3913,21019.9
12,3,3913,19052.7
12,4,3913,16424
13,0,4928,29368.4
13,1,4928,28576
13,2,4928,27930.1
13,3,4928,28970
13,4,4928,26574.2
14,0,6105,46840.3
14,1,6105,51055.9
