2,0,24,14.137
2,1,24,13.436
2,2,31,22.023
2,3,24,13.362
2,4,24,14.095
3,0,42,45.064
3,1,33,36.316
3,2,48,68.738
3,3,33,35.566
3,4,33,39.286
4,0,43,79.319
4,1,58,105.893
4,2,63,135.053
4,3,43,81.379
4,4,42,76.871
5,0,80,231.535
5,1,53,157.839
5,2,53,175.943
5,3,52,156.091
5,4,52,153.955
6,0,86,349.721
6,1,62,284.139
6,2,62,284.926
6,3,61,272.985
6,4,62,280.814
7,0,71,486.808
7,1,103,610.043
7,2,96,609.419
7,3,71,467.479
7,4,69,452.204
8,0,80,749.845
8,1,80,772.205
8,2,100,911.265
8,3,80,763.33
8,4,80,773.774
9,0,111,1274.75
9,1,136,1583
9,2,114,1329.48
9,3,128,1438.01
9,4,126,1533.82
10,0,118,1863.08
10,1,150,2358.76
10,2,118,1922.82
10,3,135,2054.87
10,4,98,1781.79
11,0,147,3034.74
11,1,107,2687.99
11,2,107,2675.42
11,3,107,2668.21
11,4,159,3140.72
12,0,176,4387.92
12,1,166,4395.71
12,2,116,4180.63
12,3,161,4270.1
12,4,116,3892.93
13,0,170,5942.06
13,1,133,5395.71
13,2,155,5637.71
13,3,185,6149.43
13,4,125,5490.77
14,0,194,8869.56
14,1,134,7472.44
14,2,199,8859.12
14,3,170,8185.77
14,4,179,8161.1
15,0,159,10948.1
15,1,143,10414.4
15,2,143,10453.3
15,3,218,11427.6
15,4,216,12362.8
16,0,234,16437.4
16,1,152,13838.9
16,2,152,13663.7
16,3,152,13922.1
16,4,177,14139.7
