2,0,8,2.096
2,1,8,1.574
2,2,8,1.616
2,3,8,1.687
2,4,8,1.708
3,0,12,2.21
3,1,12,2.525
3,2,12,2.224
3,3,12,2.181
3,4,12,2.336
4,0,16,3.822
4,1,16,3.826
4,2,16,3.063
4,3,16,3.573
4,4,16,3.813
5,0,20,8.731
5,1,20,6.051
5,2,20,7.222
5,3,20,5.623
5,4,20,3.801
6,0,24,15.296
6,1,24,25.571
6,2,24,23.256
6,3,24,13.659
6,4,24,9.945
