2,0,8,1.517
2,1,8,1.285
2,2,8,1.241
2,3,8,1.245
2,4,8,1.248
2,5,8,1.233
2,6,8,1.251
2,7,8,1.243
2,8,8,1.248
2,9,8,1.251
2,10,8,1.376
2,11,8,1.262
2,12,8,1.249
2,13,8,1.254
2,14,8,1.253
2,15,8,1.274
2,16,8,1.24
2,17,8,1.255
2,18,8,1.242
2,19,8,1.263
3,0,12,1.949
3,1,12,1.928
3,2,12,1.903
3,3,12,1.909
3,4,12,1.926
3,5,12,1.918
3,6,12,1.928
3,7,12,1.927
3,8,12,1.922
3,9,12,1.923
3,10,12,1.932
3,11,12,1.94
3,12,12,1.993
3,13,12,1.924
3,14,12,1.913
3,15,12,1.929
3,16,12,1.925
3,17,12,1.926
3,18,12,1.934
3,19,12,1.945
4,0,16,3.007
4,1,16,2.931
4,2,16,2.921
4,3,16,2.924
4,4,16,2.921
4,5,16,2.93
4,6,16,2.926
4,7,16,2.945
4,8,16,2.931
4,9,16,3.078
4,10,16,2.908
4,11,16,2.927
4,12,16,2.924
4,13,16,2.932
4,14,16,2.94
4,15,16,2.936
4,16,16,2.931
4,17,16,2.933
4,18,16,2.929
4,19,16,2.94
5,0,20,4.509
5,1,20,4.379
5,2,20,4.426
5,3,20,4.408
5,4,20,4.405
5,5,20,4.402
5,6,20,4.404
5,7,20,4.42
5,8,20,4.42
5,9,20,4.412
5,10,20,4.391
5,11,20,4.395
5,12,20,4.777
5,13,20,4.395
5,14,20,4.408
5,15,20,4.406
5,16,20,4.423
5,17,20,4.416
5,18,20,4.449
5,19,20,4.419
6,0,24,6.689
6,1,24,6.519
6,2,24,6.546
6,3,24,6.55
6,4,24,6.579
6,5,24,6.662
6,6,24,6.619
6,7,24,6.576
6,8,24,6.581
6,9,24,6.601
6,10,24,6.597
6,11,24,6.566
6,12,24,6.568
6,13,24,6.601
6,14,24,6.673
6,15,24,6.727
6,16,24,6.66
6,17,24,6.74
6,18,24,7.491
6,19,24,6.605
7,0,28,9.554
7,1,28,9.482
7,2,28,9.488
7,3,28,9.484
7,4,28,9.515
7,5,28,9.463
7,6,28,9.512
7,7,28,9.5
7,8,28,9.449
7,9,28,9.506
7,10,28,9.478
7,11,28,9.544
7,12,28,9.578
7,13,28,9.598
7,14,28,9.641
7,15,28,9.605
7,16,28,9.626
7,17,28,9.687
7,18,28,9.579
7,19,28,9.715
8,0,32,13.512
8,1,32,13.434
8,2,32,13.315
8,3,32,13.565
8,4,32,13.339
8,5,32,13.502
8,6,32,13.338
8,7,32,13.44
8,8,32,13.448
8,9,32,15.231
8,10,32,13.452
8,11,32,13.289
8,12,32,13.557
8,13,32,13.433
8,14,32,13.523
8,15,32,13.678
8,16,32,13.433
8,17,32,13.448
8,18,32,13.51
8,19,32,13.635
9,0,36,18.468
9,1,36,18.255
9,2,36,18.373
9,3,36,18.435
9,4,36,18.438
9,5,36,18.614
9,6,36,18.622
9,7,36,18.957
9,8,36,18.752
9,9,36,18.766
9,10,36,18.823
9,11,36,18.907
9,12,36,18.756
9,13,36,19.082
9,14,36,18.726
9,15,36,19.012
9,16,36,18.903
9,17,36,19.038
9,18,36,18.884
9,19,36,18.866
10,0,40,25.807
10,1,40,25.557
10,2,40,25.443
10,3,40,25.715
10,4,40,25.59
10,5,40,25.77
10,6,40,29.807
10,7,40,25.683
10,8,40,25.017
10,9,40,24.959
10,10,40,25.186
10,11,40,25.3
10,12,40,25.139
10,13,40,24.867
10,14,40,25.25
10,15,40,25.289
10,16,40,25.487
10,17,40,25.929
10,18,40,25.839
10,19,40,25.523
11,0,44,34.182
11,1,44,33.881
11,2,44,33.677
11,3,44,34.126
11,4,44,34.146
11,5,44,33.805
11,6,44,34.312
11,7,44,34.158
11,8,44,33.872
11,9,44,34.281
11,10,44,33.784
11,11,44,34.231
11,12,44,33.64
11,13,44,34.113
11,14,44,34.309
11,15,44,33.472
11,16,44,34.391
11,17,44,33.967
11,18,44,33.548
11,19,44,34.857
12,0,48,44.83
12,1,48,43.574
12,2,48,44.201
12,3,48,44.773
12,4,48,44.525
12,5,48,44.686
12,6,48,44.301
12,7,48,44.917
12,8,48,44.586
12,9,48,45.644
12,10,48,44.83
