#Size	FF	SG	Hand	Learn1	Learn2	Learn3	Learn4
5	20	20	20	20	19	20	19
10	20	20	20	20	20	20	20
15	20	20	20	20	20	20	19
20	20	20	20	20	20	20	20
25	14	19	20	19	18	19	16
30	14	17	20	17	15	17	14
35	9	13	20	15	14	15	11
40	6	14	20	12	8	16	7
45	3	7	20	12	4	12	4
50	0	6	20	13	9	16	6
55	0	1	20	12	7	13	4
60	0	1	20	7	6	13	4
65	1	1	9	6	3	3	2
